层数,序号,时间,中效滤芯阻力(mBar),高效滤芯阻力(mBar),尘气室蝶阀状态(),净气室蝶阀状态(),刮刀位置(mm),刮刀扭矩(%),加工平台位置(mm),加工平台扭矩(%),卸灰蝶阀状态(),过滤器安全门锁(),压缩空气压力(Bar),环境氧含量(%),过滤器气源压力(Bar),脉冲清灰压力(Bar),成形室压力(mBar),成形室温度(℃),加热板温度(℃),氩气压力(Bar),气动蝶阀压力(Bar),循环气体实时流量(m3/h),风机转速(%),净气室压力(mBar),落粉轴角度(°),落粉轴扭矩(%),储粉桶物位计(mm),成形室氧含量(%)
5481,442342,2024-05-07 08:48:08,61.55505,8.984327,1,1,620.0,23.574217,337.588,-23.179768,1,1,2.3886,11.803386,4.782986,4.758391,7.957899,47.84433,32.900002,4.78371,4.873409,650.287109,74.496681,-29.986979,136.0,-7.773437,98,0.034787
5481,442343,2024-05-07 08:48:08,61.521549,8.930634,1,1,620.0,23.300779,337.588,-23.249376,1,1,2.3886,11.801215,4.782986,4.759115,7.912326,47.84433,32.900002,4.782986,4.874132,649.666931,74.496681,-29.986979,136.0,-7.851562,99,0.034787
5481,442344,2024-05-07 08:48:09,61.506535,9.086308,1,1,620.0,23.535154,337.588,-26.86904,1,1,2.3886,11.801215,4.782263,4.757668,7.912326,47.84433,32.900002,4.782986,4.874856,649.666931,74.496681,-29.986979,136.0,-6.679687,98,0.034787
5481,442345,2024-05-07 08:48:09,61.489315,9.107462,1,1,620.0,23.378904,338.053,12.877648,1,1,2.3886,11.803386,4.782263,4.757668,7.864583,47.84433,32.900002,4.78371,4.874856,654.230225,74.496681,-29.982639,136.0,-7.539062,98,0.034795
5481,442346,2024-05-07 08:48:10,61.489315,9.107462,1,1,620.0,23.378904,338.053,12.877648,1,1,2.3886,11.803386,4.782263,4.757668,7.864583,47.84433,32.900002,4.78371,4.874856,654.230225,74.496681,-29.982639,136.0,-7.539062,98,0.034795
5481,442347,2024-05-07 08:48:10,61.461796,9.004627,1,1,429.678,-33.242184,338.089,-8.179047,1,1,2.389323,11.801215,4.780816,4.756945,7.927517,47.84433,32.900002,4.782986,4.874132,656.173218,74.401642,-29.986979,136.0,-7.499999,98,0.034802
5481,442348,2024-05-07 08:48:11,61.461796,9.004627,1,1,429.678,-33.242184,338.089,-8.179047,1,1,2.389323,11.801215,4.780816,4.756945,7.927517,47.84433,32.900002,4.782986,4.874132,656.173218,74.401642,-29.986979,136.0,-7.499999,98,0.034802
5481,442349,2024-05-07 08:48:11,61.450886,8.929895,1,1,324.086,-33.02734,338.089,-18.307144,1,1,2.389323,11.801215,4.782263,4.756945,7.899305,47.84433,32.900002,4.78371,4.874132,656.686096,74.395309,-29.986979,136.0,-7.636718,98,0.034802
5481,442350,2024-05-07 08:48:12,61.442341,9.173055,1,1,189.682,-36.62109,338.089,-19.664516,1,1,2.3886,11.801215,4.782263,4.757668,7.96875,47.84433,32.900002,4.782986,4.875579,656.686096,74.395309,-29.986979,136.0,-7.128905,98,0.034802
5481,442351,2024-05-07 08:48:12,61.436005,9.129385,1,1,64.892,-39.394527,338.088,-18.864014,1,1,2.389323,11.801215,4.782263,4.758391,7.96441,47.84433,32.900002,4.782986,4.874856,656.686096,74.30027,-29.986979,136.0,-7.558593,98,0.034795
5481,442352,2024-05-07 08:48:13,61.433094,9.192642,1,1,-25.433,-24.121092,337.662,-45.524227,1,1,2.3886,11.801215,4.782263,4.757668,7.910156,47.84433,32.900002,4.78371,4.874132,655.556824,74.30027,-29.986979,136.0,-7.968749,98,0.034787
