层数,序号,时间,成形室压力(mBar),成形室温度(℃),加热板温度(℃),氩气压力(Bar),CPU占用率(%),内存占用率(%),硬盘剩余容量(%),网络占用率(%),中效滤芯阻力(mBar),高效滤芯阻力(mBar),尘气室蝶阀状态(),净气室蝶阀状态(),刮刀位置(mm),刮刀扭矩(%),加工平台位置(mm),加工平台扭矩(%),卸灰蝶阀状态(),过滤器安全门锁(),压缩空气压力(Bar),环境氧含量(%),过滤器气源压力(Bar),脉冲清灰压力(Bar),气动蝶阀压力(Bar),循环气体实时流量(m3/h),风机转速(%),净气室压力(mBar),落粉轴角度(°),落粉轴扭矩(%),储粉桶物位计(mm),成形室氧含量(%)
1395,111446,2024-08-07 13:55:17,12.076823,38.28125,35.0,5.251736,,,,,3.159914,8.970063,1.0,1.0,530.0,15.800779,95.7,-3.131925,1.0,1.0,5.300926,20.117188,5.31684,5.047743,5.328414,456.809509,52.398899,6.384548,197.484,-12.539062,62.0,0.0038
1395,111447,2024-08-07 13:55:17,12.076823,38.28125,35.0,5.250289,,,,,3.160601,8.993717,1.0,1.0,530.0,15.722654,95.7,-2.827855,1.0,1.0,5.300926,20.119358,5.31684,5.047743,5.328414,459.830322,52.298843,6.384548,197.484,-12.617187,62.0,0.0038
1395,111448,2024-08-07 13:55:18,11.955296,38.28125,35.0,5.250289,,,,,3.157611,8.990646,1.0,1.0,530.0,16.054686,95.725,-2.67582,1.0,1.0,5.300926,20.119358,5.31684,5.047743,5.328414,459.830322,52.298843,6.401909,197.484,-12.617187,62.0,0.0038
1395,111449,2024-08-07 13:55:18,11.966146,38.28125,35.0,5.249566,,,,,3.14436,8.901137,1.0,1.0,419.692,-35.37109,96.2,-9.091705,1.0,1.0,5.298032,20.117188,5.31684,5.047743,5.327691,463.076019,52.198792,6.388889,197.484,-12.36328,62.0,0.0038
1395,111450,2024-08-07 13:55:19,11.979167,38.28125,35.0,5.249566,,,,,3.145861,8.8637,1.0,1.0,258.08,-37.460934,96.2,-11.007349,1.0,1.0,5.299479,20.117188,5.31684,5.047743,5.327691,461.331421,52.198792,6.371529,197.484,-12.67578,62.0,0.0038
1395,111451,2024-08-07 13:55:20,11.963976,38.28125,35.0,5.249566,,,,,3.138988,8.82386,1.0,1.0,174.083,-40.332027,96.2,-10.095138,1.0,1.0,5.298756,20.117188,5.31684,5.047743,5.326968,461.331421,52.098736,6.371529,197.484,-12.617187,61.0,0.0038
1395,111452,2024-08-07 13:55:20,11.942274,38.28125,35.0,5.250289,,,,,3.125349,8.77489,1.0,1.0,14.888,-34.003902,95.852,-11.737118,1.0,1.0,5.298756,20.119358,5.31684,5.047743,5.326968,457.388733,52.098736,6.388889,197.484,-12.558593,62.0,0.0039
1395,111453,2024-08-07 13:55:21,11.944445,38.28125,35.0,5.250289,,,,,3.12187,8.775562,1.0,1.0,-10.006,-18.710936,95.74,-17.027943,1.0,1.0,5.299479,20.119358,5.31684,5.048466,5.326968,455.338776,52.098736,6.397568,197.484,-12.421874,62.0,0.0039
1395,111454,2024-08-07 13:55:21,11.994358,38.28125,35.0,5.249566,,,,,3.12655,8.801359,1.0,1.0,-10.0,-16.914061,95.74,-6.78077,1.0,1.0,5.297309,20.117188,5.31684,5.047743,5.326968,450.27533,52.098736,6.43663,222.909,-14.355467,62.0,0.004
1395,111455,2024-08-07 13:55:22,11.981337,38.28125,35.0,5.250289,,,,,3.131573,8.851795,1.0,1.0,-10.0,-16.523436,95.74,-3.223146,1.0,1.0,5.298032,20.119358,5.31684,5.047743,5.326244,450.27533,52.098736,6.384548,229.464,-21.308592,61.0,0.004
1395,111456,2024-08-07 13:55:23,11.881511,38.28125,35.0,5.250289,,,,,3.126473,8.809319,1.0,1.0,21.696,30.312496,95.74,-4.469835,1.0,1.0,5.298032,20.119358,5.31684,5.048466,5.326244,450.27533,52.098736,6.39323,229.498,-20.078123,61.0,0.004
1395,111457,2024-08-07 13:55:23,11.896702,38.28125,35.0,5.251013,,,,,3.119363,8.820498,1.0,1.0,74.499,26.855467,95.74,-3.892101,1.0,1.0,5.297309,20.117188,5.31684,5.047743,5.326244,450.27533,52.098736,6.410591,229.498,-18.964842,62.0,0.004
1395,111458,2024-08-07 13:55:24,12.03993,38.28125,35.0,5.251736,,,,,3.120681,8.828877,1.0,1.0,140.498,29.58984,95.74,-4.074543,1.0,1.0,5.297309,20.117188,5.317564,5.047743,5.325521,450.27533,52.098736,6.397568,229.498,-17.382811,62.0,0.004
1395,111459,2024-08-07 13:55:25,12.03993,38.28125,35.0,5.251013,,,,,3.12282,8.810221,1.0,1.0,180.903,29.140621,95.74,-4.469835,1.0,1.0,5.297309,20.117188,5.317564,5.047743,5.325521,450.27533,52.098736,6.397568,229.498,-16.621092,62.0,0.004
1395,111460,2024-08-07 13:55:25,11.966146,38.28125,35.0,5.251013,,,,,3.127257,8.86016,1.0,1.0,260.9,29.414059,95.74,-4.469835,1.0,1.0,5.296586,20.119358,5.317564,5.047743,5.325521,445.879517,52.098736,6.358505,229.494,-14.824217,62.0,0.0041
1395,111461,2024-08-07 13:55:26,11.976996,38.28125,35.0,5.251013,,,,,3.126454,8.854139,1.0,1.0,298.1,28.535152,95.74,-4.591463,1.0,1.0,5.297309,20.119358,5.317564,5.047743,5.324798,437.794708,52.098736,6.371529,229.49,-14.414061,62.0,0.0041
1395,111462,2024-08-07 13:55:26,12.029079,38.266781,35.0,5.25246,,,,,3.129608,8.892185,1.0,1.0,379.304,28.671871,95.74,-4.743498,1.0,1.0,5.295139,20.117188,5.317564,5.047743,5.324798,436.305664,52.198792,6.354168,229.487,-13.417968,62.0,0.0042
1395,111463,2024-08-07 13:55:27,11.961805,38.266781,35.0,5.25246,,,,,3.1293,8.87463,1.0,1.0,445.294,30.957027,95.74,-4.743498,1.0,1.0,5.295862,20.117188,5.318287,5.047743,5.324074,436.305664,52.198792,6.367188,229.487,-13.203124,62.0,0.0042
1395,111464,2024-08-07 13:55:28,11.972656,38.266781,35.0,5.25246,,,,,3.125248,8.869433,1.0,1.0,501.705,26.523436,95.74,-4.743498,1.0,1.0,5.295862,20.119358,5.317564,5.047743,5.324074,446.182343,52.298843,6.40625,229.487,-12.910155,62.0,0.0041
