层数,序号,时间,成形室压力(mBar),成形室温度(℃),加热板温度(℃),氩气压力(Bar),中效滤芯阻力(mBar),高效滤芯阻力(mBar),尘气室蝶阀状态(),净气室蝶阀状态(),刮刀位置(mm),刮刀扭矩(%),加工平台位置(mm),加工平台扭矩(%),卸灰蝶阀状态(),过滤器安全门锁(),压缩空气压力(Bar),环境氧含量(%),过滤器气源压力(Bar),脉冲清灰压力(Bar),气动蝶阀压力(Bar),循环气体实时流量(m3/h),风机转速(%),净气室压力(mBar),落粉轴角度(°),落粉轴扭矩(%),储粉桶物位计(mm),成形室氧含量(%)
1197,197101,2025-05-22 14:47:29,9.433594,42.057293,51.0,4.679543,2.96946,1.406618,1,1,544.999,10.371093,80.834,-11.797932,1,1,4.829282,4.37066,4.67882,4.146412,4.444445,481.990814,40.998619,2.947048,260.998,-14.160154,195,0.001
1197,197102,2025-05-22 14:47:29,9.385851,42.057293,51.0,4.679543,2.972555,1.415702,1,1,485.528,-44.843746,81.334,0.334477,1,1,4.828559,4.37066,4.678096,4.145689,4.444445,484.015472,40.898571,2.916668,260.998,-14.121092,195,0.001
1197,197103,2025-05-22 14:47:30,9.351129,42.057293,51.0,4.680266,2.966023,1.42858,1,1,383.122,-47.40234,81.335,-13.987239,1,1,4.831452,4.37066,4.67882,4.145689,4.445891,483.695007,40.898571,2.925346,260.998,-14.199217,195,0.001
1197,197104,2025-05-22 14:47:30,9.38368,42.042824,51.0,4.67882,2.960524,1.413012,1,1,274.327,-45.253902,81.334,-14.200088,1,1,4.830006,4.37066,4.67882,4.146412,4.444445,482.204773,40.898571,2.881943,260.998,-13.984374,195,0.001
1197,197105,2025-05-22 14:47:31,9.427083,42.042824,51.0,4.679543,2.956164,1.410467,1,1,172.726,-45.957027,81.334,-12.862178,1,1,4.829282,4.37066,4.67882,4.144965,4.445168,482.013,40.898571,2.864582,260.998,-14.218748,195,0.001
1197,197106,2025-05-22 14:47:31,9.457465,42.042824,51.0,4.679543,2.953207,1.411688,1,1,61.522,-47.070309,81.334,-12.983807,1,1,4.830006,4.37066,4.67882,4.145689,4.445168,482.013,40.898571,2.84288,260.998,-14.179686,195,0.001
1197,197107,2025-05-22 14:47:32,9.338108,42.042824,51.0,4.679543,2.954809,1.409003,1,1,-15.013,-28.96484,80.874,-16.75428,1,1,4.830006,4.37283,4.67882,4.145689,4.444445,480.913147,40.898571,2.864582,260.998,-14.003904,195,0.001
1197,197108,2025-05-22 14:47:32,9.407552,42.042824,51.0,4.679543,2.956063,1.408453,1,1,-15.013,-23.066404,80.874,-12.102002,1,1,4.829282,4.37283,4.67882,4.145689,4.444445,480.913147,40.898571,2.860245,260.998,-14.140623,195,0.001
1197,197109,2025-05-22 14:47:33,9.392361,42.042824,51.0,4.68099,2.958071,1.409937,1,1,-15.0,-17.988279,80.874,-2.523784,1,1,4.829282,4.37066,4.679543,4.144242,4.445168,479.406311,40.898571,2.890625,320.879,-29.140621,195,0.001
1197,197110,2025-05-22 14:47:33,9.398871,42.042824,51.0,4.67882,2.955318,1.409142,1,1,-14.999,-18.789061,80.874,-1.854829,1,1,4.830006,4.37066,4.67882,4.144965,4.445168,479.252808,40.898571,2.881943,343.074,5.078125,194,0.001
1197,197111,2025-05-22 14:47:34,9.340278,42.028355,51.0,4.67882,2.956528,1.411514,1,1,19.998,50.566402,80.874,-2.280528,1,1,4.830006,4.37066,4.67882,4.144242,4.445891,479.252808,40.898571,2.881943,342.982,3.984375,194,0.001
1197,197112,2025-05-22 14:47:34,9.36632,42.028355,51.0,4.67882,2.961977,1.406095,1,1,78.46,36.874996,80.874,-2.402156,1,1,4.828559,4.37066,4.67882,4.145689,4.446615,479.868225,40.898571,2.890625,342.985,2.558594,194,0.001
1197,197113,2025-05-22 14:47:35,9.36632,42.028355,51.0,4.67882,2.963848,1.406333,1,1,93.663,37.968746,80.874,-2.584599,1,1,4.828559,4.37066,4.677372,4.145689,4.444445,482.013,40.898571,2.890625,342.985,2.558594,194,0.001
